SecCode,SecId,StartDate,EndDate,,,,
47809,4732,1950-01-01,2000-10-02,,,,
47809,19196,2000-10-03,2059-01-01,,,,
90818,15304,1950-01-01,2059-01-01,,,,
11128148,802103,1950-01-01,2059-01-01,,,,
11129091,804252,1950-01-01,2059-01-01,,,,
48341,7620,1950-01-01,2004-10-22,,,,
48341,281573,2004-10-23,2059-01-01,,,,
11172226,829546,1950-01-01,2059-01-01,,,,
11137866,731206,1950-01-01,2059-01-01,,,,
46431,127252,1950-01-01,2059-01-01,,,,
15752,3620,1950-01-01,2059-01-01,,,,
11140031,734357,1950-01-01,2059-01-01,,,,
11181449,853197,1950-01-01,2059-01-01,,,,
75077,15940,1950-01-01,2059-01-01,,,,
11165205,826196,1950-01-01,2059-01-01,,,,
44444,128670,1950-01-01,2059-01-01,,,,
38027,267791,1950-01-01,2059-01-01,,,,
86558,13529,1950-01-01,2059-01-01,,,,
11025091,809647,1950-01-01,2059-01-01,,,,
10960429,11575,1950-01-01,2009-04-01,,,,
10960429,585304,2009-04-02,2059-01-01,,,,
11181894,843349,1950-01-01,2059-01-01,,,,
152663,352036,1950-01-01,2059-01-01,,,,
11177058,835813,1950-01-01,2059-01-01,,,,
11070566,689404,1950-01-01,2059-01-01,,,,
11013006,683853,1950-01-01,2059-01-01,,,,
11130287,719004,1950-01-01,2059-01-01,,,,
31105,6357,1950-01-01,2059-01-01,,,,
79544,162618,1950-01-01,2010-11-01,,,,
79544,549003,2010-11-02,2059-01-01,,,,
11181138,842946,1950-01-01,2059-01-01,,,,
11143085,781615,1950-01-01,2059-01-01,,,,
10462,2255,1950-01-01,1999-01-01,,,,
10462,2256,1999-01-02,2059-01-01,,,,
11149752,-999,1950-01-01,2059-01-01,,,,
22341,17920,1950-01-01,2059-01-01,,,,
11078249,697353,1950-01-01,2059-01-01,,,,
11165940,830147,1950-01-01,2059-01-01,,,,
50511,17945,1950-01-01,2059-01-01,,,,
11160124,366692,1950-01-01,2059-01-01,,,,
53469,11217,1950-01-01,2059-01-01,,,,
11028764,779090,1950-01-01,2059-01-01,,,,
11188853,855059,1950-01-01,2059-01-01,,,,
11136517,727303,1950-01-01,2059-01-01,,,,
84729,-999,1950-01-01,2059-01-01,,,,
11153514,832311,1950-01-01,2059-01-01,,,,
72782,98235,1950-01-01,2059-01-01,,,,
11181558,844052,1950-01-01,2059-01-01,,,,
11143084,781614,1950-01-01,2059-01-01,,,,
254814,373637,1950-01-01,2059-01-01,,,,
10924184,581653,1950-01-01,2059-01-01,,,,
71125,13295,1950-01-01,2059-01-01,,,,
11149285,791061,1950-01-01,2059-01-01,,,,
11185687,850846,1950-01-01,2059-01-01,,,,
11136802,728053,1950-01-01,2059-01-01,,,,
11156407,717156,1950-01-01,2059-01-01,,,,
11153980,800252,1950-01-01,2059-01-01,,,,
10925256,554803,1950-01-01,2059-01-01,,,,
10973654,12896,1950-01-01,2059-01-01,,,,
226018,371590,1950-01-01,2059-01-01,,,,
10970679,596405,1950-01-01,2059-01-01,,,,
317551,390452,1950-01-01,2059-01-01,,,,
74714,13941,1950-01-01,2059-01-01,,,,
11036554,693855,1950-01-01,2059-01-01,,,,
10924380,288685,1950-01-01,2059-01-01,,,,
11139836,732956,1950-01-01,2059-01-01,,,,
17606,3971,1950-01-01,2059-01-01,,,,
197429,366692,1950-01-01,2059-01-01,,,,
11181626,844051,1950-01-01,2059-01-01,,,,
11175525,833108,1950-01-01,2059-01-01,,,,
2924,1281,1950-01-01,2059-01-01,,,,
11184047,845196,1950-01-01,2059-01-01,,,,
11153548,842404,1950-01-01,2059-01-01,,,,
11178969,839448,1950-01-01,2059-01-01,,,,
60060,-999,1950-01-01,2059-01-01,,,,
11149673,791996,1950-01-01,2059-01-01,,,,
26836,-999,1950-01-01,2059-01-01,,,,
11158731,12832,1950-01-01,2059-01-01,,,,
11179464,838957,1950-01-01,2059-01-01,,,,
11166194,318167,1950-01-01,2059-01-01,,,,
11181200,843746,1950-01-01,2059-01-01,,,,
11079838,700653,1950-01-01,2059-01-01,,,,
11178391,838696,1950-01-01,2059-01-01,,,,
11177438,637406,1950-01-01,2059-01-01,,,,
11163235,816749,1950-01-01,2059-01-01,,,,
11062963,690603,1950-01-01,2015-01-01,,,,
11062963,785046,2015-01-02,2059-01-01,,,,
11078982,695706,1950-01-01,2059-01-01,,,,
12104,-999,1950-01-01,2059-01-01,,,,
11153318,4378,1950-01-01,2059-01-01,,,,
29566,251356,1950-01-01,2059-01-01,,,,
23443,188541,1950-01-01,2059-01-01,,,,
168905,-999,1950-01-01,2059-01-01,,,,
11180728,842201,1950-01-01,2059-01-01,,,,
11138544,724103,1950-01-01,2059-01-01,,,,
11171432,827946,1950-01-01,2059-01-01,,,,
25363,66997,1950-01-01,2059-01-01,,,,
17543,99840,1950-01-01,2015-06-26,,,,
17543,795155,2015-06-27,2059-01-01,,,,
11159143,809646,1950-01-01,2059-01-01,,,,
11137701,730603,1950-01-01,2059-01-01,,,,
